Port_Label,Q1 2024_Index_Average_Q1_2023__100_Value,Q2 2024_Index_Average_Q1_2023__100_Value,Q3 2024_Index_Average_Q1_2023__100_Value,Q4 2024_Index_Average_Q1_2023__100_Value
"Chile, San Vicente",47.68,48.54,97.47,97.47
"Chile, Valparaiso",127.57,127.71,133.08,128.05
"China, Caodeidian",17.14,17.13,17.13,17.13
"China, Changshu",20.48,20.62,20.62,20.62
"China, Changzhou",15.25,15.25,15.25,15.25
"China, Da chan Bay",148.58,159.25,175.27,169.89
"China, Dalian",564.61,577.53,570.77,567.85
"China, Dongguan",8.66,17.02,17.02,9.65
"China, Fangcheng",13.15,13.15,13.15,13.15
"China, Fuqing",50.93,39.1,41.62,39.04
"China, Fuzhou",153.1,152.95,137.9,127.13
"China, Haikou",18.31,18.46,18.46,18.46
"China, Hong Kong SAR, Hong Kong",1119.63,1076.12,1072.64,1083.64
"China, Huanghua",18.73,18.45,18.45,18.45
"China, Huangpu",58.35,58.52,38.8,34.76
"China, Huizhou",11.03,11.33,11.33,
"China, Humen",40.32,47.84,47.57,40.51
"China, Jiangyin",24.64,24.68,24.68,24.68
"China, Jiaxing",22.77,22.75,20.23,20.22
"China, Jingtang",34,34.19,34.19,34.19
"China, Jinzhou",40.58,40.6,40.6,40.83
"China, Jiujiang",10.56,10.56,10.56,10.56
"China, Lianyungang",222.25,210.75,201.61,202.28
"China, Nanjing",67.41,74.99,75.05,75.05
"China, Nansha",935.65,942.6,934.73,977.76
"China, Nantong",34.55,34.62,34.62,34.62
"China, Ningbo",1834.32,1856.55,1940.59,2049.78
"China, Qingdao",1258.84,1294.95,1318.53,1358.29
"China, Qinhuangdao",,,14.4,14.42
"China, Qinzhou",196.75,193.56,184.93,182.63
"China, Quanzhou",94.19,116.15,113.75,110.54
"China, Rizhao",135.33,139.83,138.66,127.69
"China, Shanghai",2169.62,2160.52,2258.95,2360.45
"China, Shantou",185.27,184.79,177.68,183.82
"China, Shekou",1068.68,1074.23,1109.55,1156.3
"China, Shidao",22.73,22.75,18.91,18.79
"China, Taicang",214.48,217.37,174.97,175.03
"China, Taiwan Province of, Kaohsiung",883,873.41,881.55,884.27
"China, Taiwan Province of, Keelung",332.62,336.57,335.33,329.81
"China, Taiwan Province of, Taichung",317.99,319.52,282.43,278.77
"China, Taiwan Province of, Taipei",291.3,273.32,278.31,279.86
"China, Taizhou",11.3,11.3,11.3,
"China, Tangshan",17.43,17.43,17.43,17.43
"China, Weifang",23.31,23.14,32.52,32.52
"China, Weihai",37.41,37.42,37.42,37.42
"China, Weitou",,,13.16,13.16
"China, Wenzhou",61.33,61.23,59.15,58.26
"China, Wiehai",11.81,11.81,11.81,11.81
"China, Wuhan",19.08,19.08,19.08,19.08
"China, Xiamen",902.65,891.25,908.03,926.07
"China, Xingang",704.2,707.95,731.38,744.04
"China, Yangpu",52.84,52.81,52.81,65.4
"China, Yantai",158.1,158.16,174.2,165.54
"China, Yantian",790.26,778.78,823.82,837.67
"China, Yingkou",97.54,104.04,96.53,96.53
"China, Zhangjiagang",49.15,49.22,49.28,49.28
"China, Zhangzhou",24.41,24.56,21.99,21.99
"China, Zhanjiang",74.2,74.1,74.02,74.02
"China, Zhapu",9.53,,,
"China, Zhenjiang",11.64,11.64,11.64,11.64
"China, Zhousan",20.87,20.88,20.88,20.88
"China, Zhuhai",74.96,74.9,66.14,66.14
"Christmas Island, Flying Fish Cove",9.1,9.08,9.08,9.08
"Colombia, Barranquilla",81.44,82.13,75.81,75.81
"Colombia, Buenaventura",228.55,228.61,242.06,240.31
"Colombia, Cartagena (CO)",351.78,360.99,359.71,362.44
