Port_Label,Q1 2024_Index_Average_Q1_2023__100_Value,Q2 2024_Index_Average_Q1_2023__100_Value,Q3 2024_Index_Average_Q1_2023__100_Value,Q4 2024_Index_Average_Q1_2023__100_Value
"Lebanon, Beirut",248.61,187.71,178.52,173.2
"Lebanon, Tripoli (LB)",103.06,84.39,67.44,74.59
"Liberia, Monrovia",48.04,38.66,36.91,36.36
"Libya, Benghazi",56.65,49.43,73.54,78.98
"Libya, Khoms",34.88,43.67,44.26,43.56
"Libya, Misurata",117.2,113.48,118.79,129.29
"Libya, Tripoli (LY)",51.31,55.1,66.49,58.64
"Lithuania, Klaipeda",160.84,165.5,170.69,188.94
"Madagascar, Antsiranana",17.12,20.8,16.75,16.75
"Madagascar, Ehoala",15.5,15.51,15.51,15.51
"Madagascar, Mahajanga",24.08,27.76,23.71,23.71
"Madagascar, Nosy Be",10.48,10.49,10.49,10.49
"Madagascar, Toamasina",40.25,43.46,50.02,46.57
"Madagascar, Toliary",15.5,15.51,15.51,15.51
"Malaysia, Bintulu",56.75,55.73,57.25,56.99
"Malaysia, Kota Kinabalu",61.03,60.04,60.93,60.67
"Malaysia, Kuantan",61.86,72.46,68.96,75.81
"Malaysia, Kuching",49.76,49.33,49.29,49.2
"Malaysia, Labuan",25.28,25.38,25.38,25.38
"Malaysia, Pasir Gudang",181.16,156.44,153.92,162.91
"Malaysia, Penang",185.45,177.12,160.8,154.98
"Malaysia, Port Klang",1036.71,1031,1057.74,1076.96
"Malaysia, Sandakan",7.77,30.5,7.77,7.77
"Malaysia, Sibu",13.96,8.67,8.67,8.67
"Malaysia, Tanjung Pelepas",561.02,578.49,577.76,562.52
"Malaysia, Tawau",38.28,17.96,36.76,36.76
"Maldives, Addu",6.87,,,
"Maldives, Koodoo",6.87,,,
"Maldives, Male",36.57,32.96,35.35,39.16
"Malta, Marsaxlokk",279.1,250.03,252.21,237.73
"Malta, Valletta",11.47,11.47,11.47,11.47
"Marshall Islands, Kwajalein",13.75,13.75,13.75,13.75
"Marshall Islands, Majuro",38.97,39.11,39.11,39.11
"Martinique, Fort de France",75.44,71.85,71.8,73.16
"Mauritania, Nouadhibou",34.99,35.16,35.24,34.93
"Mauritania, Nouakchott",60.94,52.7,52.18,51.87
"Mauritius, Port Louis",152.33,154.05,136.37,183.71
"Mauritius, Port Mathurin",7.78,7.78,7.78,7.78
"Mayotte, Longoni",35.63,35.02,32.6,32.6
"Mexico, Altamira",194.98,189.79,181.11,181.04
"Mexico, Coatzacoalcos",9.72,9.66,9.66,9.66
"Mexico, Ensenada",94.04,104.13,110.78,117.3
"Mexico, Guaymas",9.65,9.65,9.65,9.65
"Mexico, Lazaro Cardenas",230.55,217.32,266.46,253.88
"Mexico, Manzanillo (MX)",254.57,263.16,289.51,265.46
"Mexico, Mazatlan",29.87,29.88,9.65,9.65
"Mexico, Progreso",74.2,74.27,72.55,73.19
"Mexico, Puerto Chiapas",16.29,16.31,16.31,16.31
"Mexico, Puerto Morelos",8.04,8.04,8.04,8.04
"Mexico, Tampico",18.87,18.88,18.88,18.88
"Mexico, Tuxpan",20.87,20.78,20.78,20.78
"Mexico, Veracruz",221.66,222.12,210.04,209.9
"Micronesia (Federated States of), Kosrae",24.95,24.99,24.99,24.99
"Micronesia (Federated States of), Pohnpei",24.95,24.99,24.99,24.99
"Micronesia (Federated States of), Truk",13.75,13.75,13.75,13.75
"Micronesia (Federated States of), Yap",11.08,11.07,11.07,11.07
"Montenegro, Bar",34.5,33.5,34.59,34.99
"Morocco, Agadir",66.52,72.42,61.41,60.73
"Morocco, Casablanca",211.07,213.13,219.81,230.18
"Morocco, Nador",11.24,11.25,11.25,11.25
"Morocco, Tanger Med",574.22,578.39,557.31,543.53
"Mozambique, Beira",69.41,69.21,75.61,79.34
"Mozambique, Maputo",93.97,93.8,100.75,104.43
"Mozambique, Nacala",62.7,62.58,63.48,63.72
"Myanmar, Rangoon",99.32,99.04,92.27,90.26
"Myanmar, Thilawa",40.64,40.07,39.38,36.33
"Namibia, Luderitz",,7,7,7
"Namibia, Walvis Bay",83.44,93.43,96.44,92.92
"Netherlands (Kingdom of the), Amsterdam",46.46,41.05,40.88,41.07
"Netherlands (Kingdom of the), Botlek",13.94,13.94,13.94,13.94
"Netherlands (Kingdom of the), Ijmuiden",13.83,,,
"Netherlands (Kingdom of the), Moerdijk",78.64,66.83,56.23,56.91
"Netherlands (Kingdom of the), Rotterdam",956.18,970.8,970.98,938.96
"Netherlands (Kingdom of the), Terneuzen",10.7,10.7,10.7,10.7
"Netherlands (Kingdom of the), Vlissingen",97.97,68.97,59.36,67.36
"New Caledonia, Baie de Prony",,,17.85,
"New Caledonia, Noumea",97.43,100.9,101.53,100.22
"New Caledonia, Prony",26.92,27.06,27.06,27.06
"New Zealand, Auckland",175.03,187.39,182.66,171.38
"New Zealand, Bluff Harbour",31.96,31.97,31.93,33.88
"New Zealand, Lyttelton",105.7,99.76,99.74,95.46
"New Zealand, Marsden Point",32.22,33.4,33.4,32.36
"New Zealand, Napier",85.81,96.38,96.38,88.41
"New Zealand, Nelson",51.33,44.21,44.18,42.23
"New Zealand, Port Chalmers",71.91,68.3,68.25,61.62
"New Zealand, Tauranga",206.48,191.88,168.4,174.65
"New Zealand, Timaru",43.36,40.41,40.41,41.01
"New Zealand, Wellington",61.82,61.78,60.68,60.18
"Nicaragua, Corinto",59.11,50.1,49.46,49.69
"Nicaragua, Rama (Arlen Siu)",8.45,8.45,8.45,8.45
"Nigeria, Apapa",124.75,113.39,116.05,109.93
"Nigeria, Lagos",81.1,87.13,89,89.41
"Nigeria, Lekki",94.65,93.4,92.81,92.92
"Nigeria, Onne",76.98,79.92,81.18,83.78
"Nigeria, Port Harcourt",21.62,21.63,21.63,21.63
"Nigeria, Tin Can Island",88.27,96.24,92.06,79.59
"Niue, Alofi",11.32,11.32,11.32,11.32
"Norfolk Island, Norfolk I",6.48,6.48,6.48,6.48
"Northern Mariana Islands, Saipan Island",33.12,33.13,33.13,33.13
"Norway, Aalesund",89.09,79,72.31,71.54
"Norway, Ardalstangen",11.48,11.48,11.48,11.48
"Norway, Averoy",13.3,13.31,13.31,19.78
"Norway, Bergen",88.52,78.44,71.75,72.25
"Norway, Bodo",13.83,,,
"Norway, Brevik",38.24,41.37,41.37,41.37
"Norway, Drammen",12.38,12.43,12.43,12.43
"Norway, Egersund",31.98,31.98,24.27,24.27
"Norway, Farsund",11.63,11.63,11.63,11.63
"Norway, Floro",38.97,38.98,39.54,42.48
"Norway, Fredrikstad",37.29,44.29,44.29,44.29
"Norway, Fusa",13.43,13.43,,
"Norway, Gjemnes",21.09,21.68,21.05,11.57
"Norway, Glomfjord",13.3,13.31,13.31,13.31
"Norway, Haavik",28.92,30.06,28.33,20.66
"Norway, Hammerfest",13.83,,,
"Norway, Harstad",13.83,,,
"Norway, Haugesund",65.64,66.04,66.15,66.65
"Norway, Heroya",10.14,10.14,10.14,10.14
"Norway, Hoyanger",19.9,19.9,19.9,19.9
"Norway, Husnes",11.63,11.63,11.63,11.63
"Norway, Ikornnes",13.48,13.48,14.71,18.92
"Norway, Kristiansand",53.02,42.43,42.43,42.43
"Norway, Kvinesdal",10.48,10.48,10.48,10.48
"Norway, Larvik",37.12,43.69,43.58,43.58
"Norway, Maaloy",47.68,47.17,40.48,39.71
"Norway, Molde",20.86,10.64,10.64,10.64
"Norway, Mosjoen",11.57,11.57,11.57,11.57
"Norway, Moss",30.94,29.92,29.92,29.92
"Norway, Orkanger",17.08,17.48,17.05,12.7
"Norway, Oslo",55.87,61.01,61.01,54.86
"Norway, Salten",13.3,13.31,13.31,13.31
"Norway, Sauda",10.48,10.48,10.48,10.48
"Norway, Stavanger",20.18,19.6,12.16,12.16
"Norway, Stokmarknes",13.3,13.31,13.31,13.31
"Norway, Sunndalsora",19.1,20.24,18.51,10.84
"Norway, Svelgen",13.3,13.31,13.31,13.31
"Norway, Svolvaer",13.83,,,
"Norway, Tananger",79.73,70.55,70.66,70.52
"Norway, Tromso",13.83,,,
"Norway, Trondheim",20.86,10.64,10.64,10.64
"Oman, Duqm",63.45,43.05,,
"Oman, Salalah",133.44,139.89,148.89,140.71
"Oman, Sohar",211.15,200.95,177.22,187.02
"Pakistan, Gwadar",18.61,19.61,19.69,20.32
"Pakistan, Karachi",307.66,329.24,319.2,323.67
"Pakistan, Port Qasim",165.54,160.1,181.26,165.77
"Palau, Koror",11.08,11.07,11.07,11.07
"Panama, Almirante",25.83,25.86,25.86,35.06
"Panama, Balboa",255.32,248.89,231.53,240.9
"Panama, Coco Solo",20.94,21.48,15.24,15.24
"Panama, Colon",142.83,134.59,135.71,135.18
"Panama, Cristobal",178.3,197.59,215.2,209.42
"Panama, Manzanillo (PA)",283.39,295.05,317.44,316.25
"Panama, Panama",13.31,13.33,7.6,7.6
"Panama, Rodman",130.57,143.26,165.22,164.59
"Papua New Guinea, Alotau",9.79,9.78,9.78,9.78
"Papua New Guinea, Buka",9.79,9.78,9.78,9.78
"Papua New Guinea, Kimbe",28.82,33.42,33.42,33.45
"Papua New Guinea, Lae",128.03,128.39,128.39,128.36
"Papua New Guinea, Lihir Is",24.99,24.99,24.99,24.99
"Papua New Guinea, Madang",35.18,35.55,35.55,35.53
"Papua New Guinea, Motukea Island",56.23,56.06,56.06,56.06
"Papua New Guinea, Oro Bay",6.89,6.89,6.89,6.89
"Papua New Guinea, Port Moresby",62.06,62.32,62.32,62.3
"Papua New Guinea, Rabaul",48.73,48.53,48.53,48.57
"Papua New Guinea, Wewak",14.85,14.93,14.93,14.93
"Paraguay, Asuncion",20.47,20.39,20.39,20.39
"Peru, Callao",294.82,292.91,291.81,290.29
"Peru, Ilo",12.78,13.51,13.51,13.51
"Peru, Iquitos",12.2,12.2,12.2,12.2
"Peru, Matarani",12.78,13.51,13.51,13.51
"Peru, Paita",112.16,139.1,140.33,125.74
"Peru, Pisco",69.97,67.9,59.58,65.36
"Peru, Salaverry",,,18.13,18.13
"Philippines, Bacolod",15.35,15.6,15.6,16.2
"Philippines, Batangas",107.77,113.26,100,103.28
"Philippines, Cagayan de Oro",149.09,148.36,153.35,150.9
"Philippines, Cebu",135.35,135.87,152.81,150.46
"Philippines, Cotabato",11.16,11.14,11.14,11.14
"Philippines, Dadiangas",73.3,72.56,72.99,72.51
"Philippines, Davao",163.12,164.93,167.29,160.44
"Philippines, Dumaguete",16.1,16.81,16.81,16.93
"Philippines, Iloilo",60.17,60.17,78.15,80.91
"Philippines, Manila",468.91,464.44,464.01,465.28
"Philippines, Mindanao Terminal",8.89,9.14,9.14,9.14
"Philippines, Nasipit",8.84,8.84,8.84,8.84
"Philippines, Ozamiz",11.36,11.36,11.36,13.01
"Philippines, Polloc",9.61,9.6,9.6,9.6
"Philippines, Puerto Princesa",9.53,9.53,9.53,9.53
"Philippines, Roxas",8.84,9,9,9
"Philippines, Subic Bay",123.75,125.58,136.63,133.81
"Philippines, Surigao",8.84,8.84,8.84,8.84
"Philippines, Tagbilaran",7.43,7.43,7.43,8.92
"Philippines, Zamboanga",37.19,37.25,37.19,36.61
"Poland, Gdansk",222.78,224.38,218.85,220.84
"Poland, Gdynia",172.02,194.86,191.86,203.34
"Poland, Swinoujscie",12.11,12.11,12.11,12.11
"Poland, Szczecin",31.23,26,26.04,25.4
"Portugal, Aveiro",13.07,13.7,,
"Portugal, Canical",24.39,24.39,24.36,24.36
"Portugal, Figueira da Foz",15.38,15.57,10.16,10.16
"Portugal, Flores",9.89,9.89,12.25,12.25
"Portugal, Horta",12.88,12.94,13.23,13.23
"Portugal, Leixoes",185.22,181.43,182.65,181.46
"Portugal, Lisbon",168.76,171.05,180.66,175.76
"Portugal, Pico",15.7,15.7,15.7,15.7
"Portugal, Ponta Delgada",33.84,33.84,36.27,36.27
"Portugal, Porto Santo",10.57,10.57,10.57,10.57
"Portugal, Praia da Graciosa",10.77,10.77,10.77,10.77
"Portugal, Praia da Vitoria",33.84,33.84,33.91,33.91
"Portugal, Setubal",85,77.08,68.79,72.95
"Portugal, Sines",282.42,287.02,273.77,270.23
"Portugal, Velas",18.28,18.29,18.29,18.29
"Portugal, Vila do Porto",9.44,9.44,9.44,9.44
"Puerto Rico, San Juan",117.49,107.91,107.44,107.23
"Qatar, Hamad",256.79,256.94,238.04,239.76
"Qatar, Mesaieed",18.24,18.42,18.42,18.69
"Qatar, Umm Said (Mesaieed)",,,23.98,23.82
"Republic of Korea, Daesan/Seosan",36.65,39.5,51.88,51.65
"Republic of Korea, Donghae",9.63,9.63,9.63,9.63
"Republic of Korea, Incheon",390.67,405.72,414.43,411.57
"Republic of Korea, Kunsan (Gunsan)",42.28,50.93,41.16,41.83
"Republic of Korea, Kwangyang (Gwangyang)",536.53,539.18,515.97,525.88
"Republic of Korea, Masan",31.57,31.55,31.69,31.69
"Republic of Korea, Mokpo",15.83,15.86,15.86,15.86
"Republic of Korea, Okgye",18.98,18.95,18.95,18.95
"Republic of Korea, Pohang",39.89,40,45.46,39.99
"Republic of Korea, Pusan",1733.78,1721.63,1715.12,1714.62
"Republic of Korea, Pyeongaek",15.6,15.6,15.6,15.6
"Republic of Korea, Pyongtaek",102.22,100.97,108.79,106.21
"Republic of Korea, Ulsan",209.32,212.83,210.92,211.7
"Reunion, Pointe des Galets",103.66,104.82,102.55,148.96
"Romania, Constantza",185.74,144.08,143.7,144.35
"Russian Federation, Anadyr",,,,8.37
"Russian Federation, Archangel",14.74,15.09,15.09,22.71
"Russian Federation, Bronka",20.11,20.13,19.59,17.23
"Russian Federation, Dudinka",9.62,9.97,9.97,9.97
"Russian Federation, Egvekinot",,,,8.37
"Russian Federation, Kaliningrad",26.9,32.77,38.89,29.06
"Russian Federation, Korsakov",15.1,15.09,15.09,14.71
"Russian Federation, Magadan",16.9,16.91,16.91,16.91
"Russian Federation, Murmansk",9.62,9.97,9.97,9.97
"Russian Federation, Nakhodka",20.95,22.69,23.32,23.31
"Russian Federation, Novorossijsk",130,128.45,135.58,123.75
"Russian Federation, Petropavlovsk",9.15,9.18,9.18,9.67
"Russian Federation, St Petersburg",135.92,137.11,138.83,153.75
"Russian Federation, Ust Luga",,,25.07,25.19
"Russian Federation, Vladivostok",200.98,194.13,185.84,185.54
"Russian Federation, Vostochniy",91.48,70.9,70.41,79.41
"Saint Helena, Rupert's Bay",,7,7,7
"Saint Kitts and Nevis, Basseterre",13.5,13.5,13.5,13.5
"Saint Lucia, Port Castries",55.27,51.97,51.97,51.35
"Saint Pierre and Miquelon, Miquelon",9.65,9.37,9.37,9.37
"Saint Pierre and Miquelon, St Pierre",9.65,9.37,9.37,9.37
"Saint Vincent and the Grenadines, Campden Park",27.85,23.99,23.99,23.99
"Saint Vincent and the Grenadines, Kingstown",14.92,14.93,14.93,14.93
"Samoa, Apia",63.58,63.72,59.75,59.7
"Sao Tome and Principe, Sao Tome",24.52,24.79,24.85,24.85
"Saudi Arabia, Dammam",306.49,338.94,319.95,314.92
"Saudi Arabia, Dhuba",17.12,26.39,27.03,27.03
"Saudi Arabia, Jazan",25.89,26.09,26.13,29.96
"Saudi Arabia, Jeddah",457.39,358.32,376.02,382.81
"Saudi Arabia, Jubail",149.75,138.25,153.36,165.99
"Saudi Arabia, King Abdullah",87.75,87.66,84.46,86.85
"Saudi Arabia, Yanbu",,19.36,19.36,19.36
"Senegal, Dakar",132.92,142.26,150.44,136.61
"Seychelles, Port Victoria",44.28,44.24,44.25,47.55
"Sierra Leone, Freetown",48.69,42.79,45.24,36.86
"Singapore, Singapore",1742.23,1724.72,1752.89,1720.54
"Sint Maarten (Dutch part), Philipsburg",60.69,62.09,62.09,61.48
"Slovenia, Koper",180.64,175.95,176.59,173.96
"Solomon Islands, Honiara",61.44,61.29,61.29,61.28
"Solomon Islands, Noro",12.19,12.43,12.43,11.5
"Somalia, Berbera",48,63.85,56.1,63.75
"Somalia, Kismayu",26.63,7.49,7.49,7.49
"Somalia, Mogadiscio",38.04,31.91,47.57,49.06
"South Africa, Cape Town",152.48,155.99,154.73,151.95
"South Africa, Coega",109.35,117.14,116.24,118.77
"South Africa, Durban",223.08,221.27,210.6,206.65
"South Africa, East London",11.09,17.92,10.76,10.76
"South Africa, Port Elizabeth",83.33,91.8,89.57,55.13
"South Africa, Richards Bay",17.57,16.94,18.32,18.32
"Spain, Algeciras",535.34,558.43,546.74,551.79
"Spain, Alicante",46.94,46.94,50.09,49.71
"Spain, Almeria",10.52,10.52,10.52,10.88
"Spain, Arrecife",51.99,51.35,54.5,54.53
"Spain, Aviles",10.17,10.17,10.17,10.17
"Spain, Barcelona",498.84,520.71,506.17,492.82
"Spain, Bilbao",104.72,112.49,99.82,100.4
"Spain, Cadiz",48.64,56.67,54.84,55.65
"Spain, Cartagena (ES)",18.77,21.62,21.62,32.33
"Spain, Castellon",71.86,72.9,85.28,85.86
"Spain, Ferrol",50.27,45.46,44.69,37.37
"Spain, Gijon",43.94,43.59,41.73,32.46
"Spain, Huelva",29.79,29.79,29.79,30.32
"Spain, Las Palmas",239.24,240.49,231.41,227.17
"Spain, Malaga",33.83,34.48,34.48,103.21
"Spain, Marin",10.52,10.5,9.19,18.3
"Spain, Puerto Del Rosario",29.98,29.34,29.34,29.37
"Spain, Sagunto",35.69,35.68,29.97,30.23
"Spain, Santa Cruz de la Palma",19.97,19.97,19.97,20
"Spain, Santa Cruz de Tenerife",113.2,112.73,108.58,110.48
"Spain, Santander",18.77,26.1,30.25,30.25
"Spain, Seville",13.01,13.01,13.01,13.01
"Spain, Tarragona",10.54,10.54,10.54,10.54
"Spain, Valencia",585.9,591.44,589.77,590.8
"Spain, Vigo",110.85,126.12,115.62,113.78
"Spain, Villagarcia",22.94,23.32,23.32,23.35
"Sri Lanka, Colombo",670.24,658.73,653.26,697.23
"Sudan, Port Sudan",67.32,72.01,68.88,68.54
"Suriname, Paramaribo",90.59,85.85,86.05,86.11
"Sweden, Ahus",20.01,20.65,20.65,20.65
"Sweden, Gavle",47.75,51.01,47.42,54.89
"Sweden, Gothenburg",183.49,181.21,175.1,177.22
"Sweden, Halmstad",38.59,31.88,31.88,24.49
"Sweden, Helsinborg",82.92,83.71,92.02,74.19
"Sweden, Karlstad",8.97,8.97,8.97,8.97
"Sweden, Malmo",9.69,,,
"Sweden, Norrkoping",41.74,45.66,45.7,41.88
"Sweden, Oskarshamn",12.82,12.82,12.82,12.82
"Sweden, Oxelosund",9.72,9.72,9.72,9.72
"Sweden, Pitea",,11.44,11.44,12.61
"Sweden, Sodertalje",9.69,10.3,10.3,10.3
"Sweden, Stockholm",28.63,28.25,28.42,29.69
"Sweden, Sundsvall",,,,12.61
"Sweden, Vasteras",9.72,9.72,9.72,9.72
"Syrian Arab Republic, Latakia",51.88,61.04,63.53,63.43
"Syrian Arab Republic, Tartous",26.1,26.05,26.71,26.67
"Thailand, Bangkok",249.71,255.02,257.85,271.37
"Thailand, Laem Chabang",665.39,703.06,688.76,701.46
"Thailand, Phuket",14.94,13.43,13.43,13.43
"Thailand, Sahathai",18.78,30.44,21.36,29.89
"Thailand, Songkhla",30.22,29.75,29.75,29.75
"Thailand, Sriracha",26.53,26.67,26.67,26.67
"Timor-Leste, Dili",27.43,28.2,28.2,28.2
"Togo, Lome",217.52,210.78,190.83,218.47
"Tonga, Nukualofa",61.35,63.71,57.61,57.56
"Tonga, Vavau",17.77,17.78,17.78,17.78
"Trinidad and Tobago, Point Lisas",72.62,71.42,72.1,72.1
"Trinidad and Tobago, Port of Spain",101.89,96.47,97.12,97.17
"Tunisia, Bizerta",20.09,8.13,8.13,8.13
"Tunisia, Rades",42.78,51.75,39.7,49.11
"Tunisia, Sfax",38.83,40.35,34.02,22.58
"Tunisia, Sousse",30.32,12.42,12.42,19.07
"Tunisia, Tunis",16.2,16.23,8.08,8.08
"Turkiye, Aliaga (Nemrut)",336.09,341.64,306.88,327.3
"Turkiye, Ambarli",454.82,455.81,441.56,439.75
"Turkiye, Antalya",18.24,18.24,25.75,18.24
"Turkiye, Bandirma",9.93,9.93,9.93,9.93
"Turkiye, Derince",136.54,108.72,102.32,88.93
"Turkiye, Diliskelesi",38.6,29.1,38.6,49.96
"Turkiye, Eregli",14.19,14.19,14.19,14.19
"Turkiye, Evyap Pt",130.15,74.52,65.62,65.62
"Turkiye, Gebze",153.23,168.68,144.51,147.89
"Turkiye, Gemlik",283.25,289.02,259.42,254.66
"Turkiye, Haydarpasa",10.43,13.84,26.77,26.77
"Turkiye, Iskenderun",211.89,223.84,222.99,225.49
"Turkiye, Izmir",148.91,138.34,117.91,117.85
"Turkiye, Izmit Korfezi",209.01,254.44,244.24,257.64
"Turkiye, Kumport",73.66,63.22,61.37,49.01
"Turkiye, Mardas",49.42,46.04,30.91,29.51
"Turkiye, Marport",59.34,38.29,31.91,31.91
"Turkiye, Mersin",295,258.44,259.14,275.04
"Turkiye, Nemruth Bay",30.01,36.97,27.49,27.49
"Turkiye, Samsun",33.5,32.17,32.17,32.2
"Turkiye, Tekirdag",211.14,204.48,194.72,198.53
"Turkiye, Trabzon",12.24,12.24,12.24,12.24
"Turkiye, Yarimca",27.54,36.23,43.83,31.08
"Turkiye, Yilport",54.9,54.18,44.63,43.23
"Turks and Caicos Islands, Grand Turk",8.2,8.2,8.2,8.2
"Tuvalu, Port Funafuti",8.79,8.8,8.8,7.83
"Ukraine, Chornomorsk",,17.36,17.36,26.57
"Ukraine, Izmail",15.04,15.04,15.64,15.64
"Ukraine, Odessa",,8.5,18.03,18.03
"Ukraine, Reni",7.89,7.89,7.89,7.89
"United Arab Emirates, Abu Dhabi",11.04,11.06,11.06,11.06
"United Arab Emirates, Ahmed Bin Rashid",10.95,10.96,10.96,10.96
"United Arab Emirates, Ajman",36.43,37.06,37.06,36.66
"United Arab Emirates, Fujairah",13.08,13.01,15.85,
"United Arab Emirates, Jebel Ali",754.07,733.13,750.35,780.93
"United Arab Emirates, Khalifa",364.1,354.62,323.33,312.82
"United Arab Emirates, Khor Fakkan",58.78,60.76,81.4,92.68
"United Arab Emirates, Mina Saqr",23.47,23.5,23.5,23.5
"United Arab Emirates, Ras al Khaimah",11.72,38.58,39.72,44.33
"United Arab Emirates, Ruwais",22.84,22.88,22.88,22.88
"United Arab Emirates, Sharjah",99.68,97.33,90.29,101.26
"United Arab Emirates, Umm al Qaiwain",11.15,11.15,11.15,11.15
"United Kingdom, Aberdeen",25.26,25.27,25.27,25.89
"United Kingdom, Belfast",83.48,84.22,76.75,82.23
"United Kingdom, Blyth",9.04,9.05,9.05,9.05
"United Kingdom, Bristol",48.16,45.03,27.06,29.1
"United Kingdom, Dover",12.54,12.56,12.56,12.56
"United Kingdom, Felixstowe",296.14,302.05,307.23,316.6
"United Kingdom, Fowey",7.59,7.59,7.59,7.59
"United Kingdom, Grangemouth",46.37,47.63,48.09,38.44
"United Kingdom, Greenock",60.9,58.66,33.71,34.55
"United Kingdom, Hull",90.58,71.9,71.98,71.98
"United Kingdom, Immingham",69.1,79.65,78.89,79.51
"United Kingdom, Liverpool (GB)",159.98,163.03,192.55,214.92
"United Kingdom, London Gateway",352.12,357.73,372.66,377.12
"United Kingdom, Marchwood",9.18,8.55,9.19,9.19
"United Kingdom, Poole",9.43,9.43,9.43,9.43
"United Kingdom, Portsmouth (GB)",34.39,34.56,24.13,24.13
"United Kingdom, Sheerness",18.65,18.69,18.69,18.69
"United Kingdom, Southampton",264.55,263.38,262.7,264.03
"United Kingdom, Tees",80.75,86.03,77.02,74.02
"United Kingdom, Thamesport",34.63,26.92,25.64,21.56
"United Kingdom, Tilbury",115.68,118.47,118.28,126.64
"United Kingdom, Tyne",15.87,11.85,11.85,12.35
"United Republic of Tanzania, Dar es Salaam",128.28,117.68,122.74,113.29
"United Republic of Tanzania, Mtwara",20.67,20.66,20.64,20.02
"United Republic of Tanzania, Zanzibar",21.29,27.09,27.09,27.09
"United States Virgin Islands, Port Alucroix",14,14.22,14.22,14.22
"United States Virgin Islands, St Thomas",28.88,29.1,29.1,29.1
"United States, Anchorage",14.08,14.62,14.62,14.62
"United States, Baltimore",206.89,25.14,196.15,202.62
"United States, Boston (US)",123.45,113.3,105.11,105.64
"United States, Brownsville",,,18.32,18.32
"United States, Charleston",309.28,326.95,324.08,315.3
"United States, Chester",20.89,20.9,20.9,20.9
"United States, Cleveland",9.08,9.08,9.08,9.08
"United States, Dutch Harbour",42.76,50.17,50.19,51.05
"United States, Everett (US-WA)",27.13,24.69,24.69,24.69
"United States, Fernandina",7.03,7.03,7.03,7.03
"United States, Freeport (US)",43.63,42.99,50.58,50.58
"United States, Gloucester City",14.34,13.71,14.35,14.35
"United States, Gulfport",34.41,34.41,34.41,34.41
"United States, Honolulu",61.77,62.26,62.32,62.95
"United States, Houston",310.2,307.55,302.14,293.67
"United States, Jacksonville",175.88,186.14,184.33,189.75
"United States, Kodiak",14.08,14.62,14.62,14.62
"United States, Long Beach",203.21,202.33,249.75,262.74
"United States, Los Angeles",296.59,294.2,295.91,295.17
"United States, Miami",169.38,175.71,191.49,178.78
"United States, Mobile",160.81,136.35,136.23,128.3
"United States, Morehead City",14.94,13.43,13.43,13.43
"United States, New Orleans",178.07,175.18,180.26,172.36
"United States, New York/New Jersey",485.61,495.36,497.76,497
"United States, Norfolk",394.7,416.71,415.59,407.43
"United States, Oakland",313.9,320.83,307.71,305.14
"United States, Panama City",,,7.81,7.81
"United States, Pensacola",14.06,15.82,16.46,16.46
"United States, Philadelphia",215.87,174,171.92,162.98
"United States, Port Everglades",235.2,227.53,207.36,206.35
"United States, Port Hueneme",39.24,39.36,39.36,38.8
"United States, Port Manatee",29.76,29.67,22.72,22.72
"United States, Portland (US-ME)",11.76,11.76,11.76,11.76
"United States, Portland (US-OR)",80.97,64.26,69.93,64.9
"United States, San Diego",13.91,13.91,13.91,13.91
"United States, Savannah",428.66,440.59,468.23,446.24
"United States, Seattle",152.9,139,143.31,143.82
"United States, Tacoma",136.33,152.75,136.33,154.65
"United States, Tampa",82.81,82.92,82.8,82.78
"United States, West Palm Beach",40.3,40.56,40.56,40.56
"United States, Wilmington (US-DE)",31.31,44.94,31.46,31.46
"United States, Wilmington (US-NC)",135.27,131.86,130.55,129.87
"Uruguay, Montevideo",245.26,245.03,232.44,235.49
"Uruguay, Punta Pereyra",8.79,8.79,8.79,8.79
"Vanuatu, Luganville",10.37,10.37,10.37,
"Vanuatu, Port Vila",52.08,52.26,52.9,50.13
"Vanuatu, Santo",36.54,37.87,37.87,37.66
"Venezuela (Bolivarian Rep. of), Guanta",10.82,18.77,18.77,18.77
"Venezuela (Bolivarian Rep. of), Guaranao Bay",10.82,10.82,10.82,10.82
"Venezuela (Bolivarian Rep. of), La Guaira",51.26,51.17,51.66,52.92
"Venezuela (Bolivarian Rep. of), Maracaibo",10.82,18.77,18.77,18.77
"Venezuela (Bolivarian Rep. of), Palua",10.17,10.17,10.17,10.17
"Venezuela (Bolivarian Rep. of), Puerto Cabello",57.41,57.32,57.18,59.06
"Viet Nam, Cai Lan",,25.39,,
"Viet Nam, Can Tho",7.72,7.72,7.72,7.72
"Viet Nam, Chu Lai",47.03,47.76,47.78,47.78
"Viet Nam, Da Nang",175.17,168.45,171.38,170.74
"Viet Nam, Haiphong",574.19,570.03,576.59,568.48
"Viet Nam, Ho Chi Minh City",569.65,622.27,579.49,581.86
"Viet Nam, Nghi Son",22.26,20.28,20.28,28.63
"Viet Nam, Qui Nhon",57.97,58.08,58.6,64.65
"Viet Nam, Son Duong",,,,9.78
"Viet Nam, Vung Tau",430.92,403.61,447.75,449.16
"Wallis and Futuna Islands, Futuna",8.79,8.79,8.79,9.43
"Yemen, Aden",43.59,43.55,56.47,36.53
"Yemen, Hodeidah",41.37,42.07,45.24,39.93
"Yemen, Mukalla",10.35,9.83,9.83,9.83
