objectid,iso3cd,romnam,maplab,contcd,stscod,typ005,typ025,del025,isoclr,globalid,st_area_sh,st_length_
810,MNG,Mongolia,MONGOLIA,ASI,1,0,0,0,MNG,{A367E3E7-3B9A-4F7A-A72F-50857CB4438F},184.66418225,94.4072825479
811,MNP,Northern Mariana Islands,Northern Mariana Is. (USA),OCE,4,1,1,0,USA,{CEDB1F48-F521-46D0-A8A5-C86CE43D7787},0.040336332532,3.25296604889
812,MOZ,Mozambique,MOZAMBIQUE,AFR,1,2,2,0,MOZ,{C34A366F-66B2-4CC6-AB97-5978C29263CA},67.0258763215,97.6886331124
813,MRT,Mauritania,MAURITANIA,AFR,1,2,2,0,MRT,{7DA43CF9-2574-4744-A4C2-08934DE08545},89.7504383569,57.2332527383
814,MSR,Montserrat,Montserrat *,AME,3,1,0,0,GBR,{1C684906-EE78-4786-BCAF-6B18B09EEE0C},0.00868643920585,0.389800858128
815,MTQ,Martinique,Martinique (Fr.),AME,4,1,1,0,FRA,{9629CAFD-4311-499A-9C4F-5AB2343BB845},0.0958344303449,2.38251175928
816,MUS,Mauritius,MAURITIUS,AFR,1,1,1,0,MUS,{4C43AB62-FA80-41A7-969C-3502D6F732A9},0.17822680588,5.81405932013
817,MWI,Malawi,MALAWI,AFR,1,2,0,0,MWI,{4DF213F5-A79D-4AAA-8A39-CE854557A725},9.88498516846,28.1680694743
818,MYS,Malaysia,MALAYSIA,ASI,1,2,2,0,MYS,{563A7ADA-CA29-4C23-B3C9-93BD4B058249},26.8570986056,88.2427796874
848,REU,Réunion,Réunion (Fr.),AFR,4,1,0,0,FRA,{547AA7F9-6081-4097-B4B8-D7DDD4EE56B9},0.22122857179,1.89788130417
849,ROU,Romania,ROMANIA,EUR,1,0,0,0,ROU,{39AF1AC7-9294-4AB5-BE86-00884A34EF0A},27.61273561,35.6973656521
850,RUS,Russian Federation,RUSSIAN FEDERATION,EUR,1,2,2,0,RUS,{C0B69F1C-2162-4FE0-9B79-AF90EDABFB8B},2931.49775403,1978.24323011
851,RWA,Rwanda,RWANDA,AFR,1,0,0,0,RWA,{103B7A03-6FC4-4AF2-9994-24E774F2E4A2},2.06318298232,8.25518323684
852,SAU,Saudi Arabia,SAUDI ARABIA,ASI,1,2,2,0,SAU,{EBD11544-C38F-406E-BA91-B51EF30DC436},171.363783672,102.520912551
853,SDN,Sudan,SUDAN,AFR,1,2,2,0,SDN,{DB36FD24-093B-42C5-92EF-FEEAA87C23B5},157.530842669,78.3532195546
854,SEN,Senegal,SENEGAL,AFR,1,2,0,0,SEN,{78C876A3-B33F-4A67-ADCC-5DF82C43BFB5},16.4790132649,31.3844904839
819,MYT,Mayotte,Mayotte,AFR,4,1,1,0,FRA,{D249BBAD-8295-4C63-B421-B04B1C607040},0.0321540066713,1.85563899818
820,NAM,Namibia,NAMIBIA,AFR,1,2,0,0,NAM,{1A87874C-8C91-4280-A156-B0EFF69CCAE4},72.2304611473,53.8850961995
821,NCL,New Caledonia,New Caledonia *,OCE,3,1,1,0,FRA,{32AFDEC4-1266-4E25-9D3C-A1BB3CF8597E},1.6469547369,24.6370384194
822,NER,Niger,NIGER,AFR,1,0,0,0,NER,{066A95CA-69AA-4EE5-A834-709A69D4D58E},100.662109068,53.3703212861
823,NFK,Norfolk Island,Norfolk Island (Aust.),OCE,4,1,1,0,AUS,{DE369C04-E626-43C9-9EDC-1371712B0339},0.00360012144625,0.347269937384
824,NGA,Nigeria,NIGERIA,AFR,1,0,0,0,NGA,{0977CCC3-BB24-45AE-8A5B-D0CB23D574DB},75.0492743235,52.2176947403
825,NIC,Nicaragua,NICARAGUA,AME,1,2,2,0,NIC,{21599714-D730-4685-9D7A-1C9FA2988F05},10.7554104403,22.6518467771
826,NIU,Niue,NIUE,OCE,1,1,0,0,NZL,{5D20D66E-EA2E-42CA-811B-9713867D6E27},0.0228456820144,0.602520460102
827,NLD,Netherlands,NETHERLANDS,EUR,1,2,2,0,NLD,{B4845913-8F44-45A6-9B85-1807F4D4249B},4.63028558831,32.6717994085
828,NOR,Norway,NORWAY,EUR,1,2,2,0,NOR,{19F491D5-4012-4664-A9B2-E2C74989A847},60.5903261525,564.031561796
829,NPL,Nepal,NEPAL,ASI,1,0,0,0,NPL,{C721360E-A162-4B02-B62E-4540F3A60DF8},13.5755591184,30.7477844969
830,NRU,Nauru,NAURU,OCE,1,1,0,0,NRU,{1C6FB9B8-B349-4EC4-AD01-470930466B59},0.00148362827887,0.144695004277
831,NZL,New Zealand,NEW ZEALAND,OCE,1,1,1,0,NZL,{74D967CD-ED65-4C2E-83C3-E755374D0E35},29.1562843778,194.665095972
